"Reference","Value","Footprint","Qty","DNP","Manufacturer_Part_Number"
"C1,C2,C3,C4,C5,C7,C12,C13,C20,C21,C22,C23,C24,C29,C30,C31,C231,C232,C237,C238","1u","Capacitor_SMD:C_0805_2012Metric","20","","GRM219R61H105KA73D"
"C6,C10,C11,C16,C17,C18,C19","470u","-- mixed values --","7","","UHV1C471MPD"
"C8,C25,C28,C32,C127,C227,C229,C234","10u","Capacitor_SMD:C_0805_2012Metric","8","","GRM21BR61C106KE15K"
"C9,C14,C15,C26,C103,C112,C113,C115,C120,C122,C123,C124,C125,C126,C203,C212,C213,C215,C220,C222,C223,C224,C225,C226,C230,C233,C235,C236,C239,C240","100n","Capacitor_SMD:C_0805_2012Metric","30","","GRM21BR72A104KAC4L"
"C27,C104,C111,C114,C116,C121,C128,C204,C211,C214,C216,C221,C228","1n/1","Capacitor_SMD:C_0805_2012Metric","13","","GRM2195C1H102JA01D"
"C101,C201","100u","Capacitor_SMD:C_1210_3225Metric","2","","GRM32ER61A107ME20K"
"C102,C110,C117,C202,C210,C217","10u","Capacitor_Tantalum_SMD:CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder","6","","T491B106K016AT7280"
"C105,C205","470n/1","Capacitor_SMD:C_1206_3216Metric","2","","GRM31C5C1E474JE01L"
"C106,C107,C206,C207","1p","Capacitor_SMD:C_0805_2012Metric","4","DNP",""
"C108,C109,C208,C209","82pF/1","Capacitor_SMD:C_0805_2012Metric","4","","GRM21A5C2D820JW01D"
"C118,C119,C218,C219","15pF/1","Capacitor_SMD:C_0805_2012Metric","4","","GRM21A5C2D150JW01D"
"D1,D2","LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","2","","APT2012EC"
"H1,H2,H3,H4","MountingHole","MountingHole:MountingHole_3.2mm_M3","4","DNP",""
"J1","Conn_01x01_Shielded","Footprints:SMA_Amphenol_901-144_Vertical2","1","","RF2-04A-T-00-50-G"
"J2","Conn_01x08_Socket","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","1","","61300811121"
